employee_id,employee_name,department,position,date,attendance_status,hours_worked,tasks_completed,performance_rating,monthly_salary
EMP2824,Ching Mae Abenoja,,Manager,08/03/2024,Absent,6.11,3,3.1,64453
EMP1409,Juliana Eunice Astibe,Marketting,Junior,28/07/2024,On Leave,6.7,10,3.1,63618
EMP5506,Rhuzzel Rabe,Engineering,Senior,07/01/2023,On Leave,8.66,4,3.4,35189
EMP5012,John Dominic San Agustin,IT Support,Associate,11/12/2023,Present,6.36,8,3.4,47541
EMP4657,Harold Gorospe,Finance,Manager,28/09/2023,Work From Home,8.82,9,2.8,85443
EMP3286,Sam Cunanan,Operations,Lead,22/03/2023,Work From Home,7.93,7,3,29558
EMP2679,Raphael Petancio,Sales,Junior,08/11/2024,Present,6.8,6,4.6,81785
EMP9935,Hillary Anne Gambao,HR,Junior,25/01/2024,Absent,6.97,7,,38730
EMP2424,Miguel Cardona,Engineering,Senior,19/12/2024,Work From Home,9.28,3,0,60005
EMP9666,Camila Ortiz,Operations,Manager,12/01/2023,Absent,3.14,11,10,35495
EMP1166,Isabela Rios,HR,Associate,07/10/2023,Late,8.43,9,2.4,43777
EMP8019,  Adriana Nunez  ,Sales,Associate,24/04/2023,Present,10.16,11,2.5,106787
EMP1166,Isabela Rios,IT Support,Lead,07/12/2024,Absent,,13,1.5,111248
EMP5542,Carlos Reyes,Marketing,Associate,26/10/2023,Work From Home,,9,2,68270
EMP5558,Eduardo Espinoza,Operations,Senior,28/02/2024,Absent,0.65,4,5,64914
EMP9179,Lucia Romero,Engineering,Junior,05/05/2024,On Leave,10.97,6,4.7,92362
EMP6947,Carmen Ramos,Operations,Junior,18/10/2024,Work From Home,8.64,2,1.2,29514
EMP9179,Lucia Romero,Operations,Senior,04/12/2024,Absent,4.14,4,3,111004
EMP5558,Eduardo Espinoza,Finance,Associate,13/05/2024,Work From Home,7.63,5,1.7,57858
EMP5119,Patricia Ruiz,Operations,Associate,08/01/2024,On Leave,,9,2.6,64350
EMP4470,Paola Ibarra,Operations,Senior,19/01/2023,Absent,4.35,5,2.4,83736
EMP2796,Ana Bautista,Engineering,Junior,12/04/2024,Absent,0.61,11,2.1,80846
EMP3503,Cesar Rivas,Sales,Associate,07/03/2023,Work From Home,4.98,10,2.9,28161
EMP9022,Emilio Perez,Finance,Senior,08/01/2024,On Leave,9.9,7,2.3,101232
EMP4470,Paola Ibarra,Operations,Associate,31/12/2024,On Leave,3.74,11,4.6,79177
EMP9494,Diego Jimenez,Marketing,Senior,18/02/2023,Late,10.39,10,1.5,68237
EMP5291,Javier Miranda,Marketing,Manager,11/05/2024,On Leave,0,8,1.3,57450
EMP2530,Daniela Paredes,Marketing,Lead,05/10/2023,Present,3.68,7,3.9,61359
EMP3184,Monica Aguilar, Finance,Lead,14/11/2024,On Leave,6.37,10,3.5,114276
EMP4228,Beatriz Salazar,Operations,Lead,18/11/2024,Absent,4.3,9,4.4,93170
EMP9938,Elena Morales,Sales,Senior,06/04/2023,Work From Home,0.53,7,-1,68823
EMP6553,Ricardo Delgado,Operations,Manager,03/11/2023,Work From Home,10.12,10,3.5,46330
EMP3296,Sergio Pena,Marketing,Senior,15/04/2023,On Leave,1.59,,2.8,92710
EMP5558,Eduardo Espinoza,Finance,Junior,30/04/2024,Absent,,7,4,91529
EMP4510,Claudia Suarez,HR,Lead,11/12/2023,present,8.03,12,4.4,36728
EMP5135,Pablo Rojas,HR,Senior,30/05/2023,On Leave,1.65,9,3.8,
EMP8433,Roberto Navarro,HR,Manager,23/05/2024,Late,10.92,15,1.9,21671
EMP8433,Roberto Navarro,HR,Senior,27/05/2024,Late,9.14,3,4.4,86540
EMP3170,Andres Vargas,HR,Junior,23/08/2023,Late,11.54,0,3.3,119125
EMP7930,Fernando Molina,Sales,Associate,02/11/2023,Present,,11,3.2,92754
EMP9938,Elena Morales,HR,Senior,19/08/2024,Absent,6.63,13,1.2,67795
EMP9666,Camila Ortiz,Engineering,Senior,05/08/2023,Absent,4.95,4,1.7,100856
EMP8433,Roberto Navarro,,Senior,27/12/2024,Present,2.71,9,2,103238
EMP5497,Gabriela Vega,Engineering,Lead,05/08/2023,Late,5.94,10,2.4,95750
EMP5119,Patricia Ruiz,Sales,Senior,22/09/2024,On Leave,9.7,15,2.7,115817
EMP1753,Maria Santos,IT Support,Senior,01/03/2023,Work From Home,9.7,15,2.4,96544
EMP3170,Andres Vargas,Marketing,Associate,04/12/2024,Present,,2,4.3,32219
EMP2193,Antonio Medina,Marketting,Lead,06/10/2024,On Leave,6.91,12,2.6,39342
EMP7930,Fernando Molina,engineering,Manager,18/01/2024,Absent,8.43,1,3,113959
EMP5291,Javier Miranda,Finance,Senior,28/06/2023,Absent,8.49,11,3.7,42983
EMP9938,Elena Morales,Engineering,Junior,05/11/2023,Work From Home,5.05,3,2.1,99381
EMP6862,Jose Cruz,Marketing,Lead,23/12/2024,On Leave,10.96,,5,105461
EMP9494,Diego Jimenez,IT Support,Associate,01/09/2024,Present,3.09,2,2.6,72082
EMP2193,Antonio Medina,Operations,Manager,25/12/2023,Present,4.13,8,2.1,70667
EMP9727,Salvador Bernal,Sales,Associate,05/10/2024,Late,1.17,1,4.2,24373
EMP4258,Raul Cabrera,Engineering,Senior,15/06/2023,Work From Home,-1,0,2.3,
EMP1525,Miguel Herrera,Engineering,Junior,11/09/2023,Work From Home,7.88,8,4.3,116607
EMP7615,Valentina Gutierrez,Marketing,Senior,24/11/2023,Absent,,2,1.6,70205
EMP5915,Jorge Flores,Engineering,Lead,11/11/2024,Work From Home,11.28,5,3.3,73225
EMP1006,Veronica Soto,HR,Manager,08/05/2023,Late,3.42,5,2.8,
EMP5915,Jorge Flores,Engineering,Senior,22/10/2024,Present,-1,9,4.4,106298
EMP2193,Antonio Medina,Marketing,Lead,10/04/2023,Late,5.26,14,1.3,25856
EMP2796,Ana Bautista,Marketing,Lead,03/09/2024,Late,10.59,15,3.1,34089
EMP9727,Salvador Bernal,IT Support,Junior,01/07/2023,On Leave,11.42,15,4,119598
EMP5497,Gabriela Vega,HR,Lead,06/12/2023,On Leave,8.29,1,4.7,68816
EMP9938,Elena Morales,,Lead,13/03/2023,Present,1.7,0,4,48197
EMP8019,Adriana Nunez,,Associate,05/11/2024,Work From Home,7.49,10,1.2,23718
EMP9004,Marco Sandoval,IT Support,Lead,03/07/2023,Work From Home,1.28,3,1.6,45156
EMP8433,Roberto Navarro,IT Support,Associate,27/02/2024,On Leave,0.3,10,4.2,116345
EMP1006,Veronica Soto,,Junior,19/08/2023,On Leave,11.91,3,4.8,104896
EMP1166,Isabela Rios,IT Support,Manager,27/11/2024,Present,7.33,4,6,64444
EMP9938,Elena Morales,IT Support,Lead,04/04/2023,On Leave,11.36,7,4.5,23495
EMP5558,Eduardo Espinoza,IT Support,Senior,17/04/2023,On Leave,2.46,7,0,27850
EMP3170,Andres Vargas,Engineering,Manager,29/03/2024,Work From Home,9.96,11,3.2,99087
EMP3184,Monica Aguilar,Marketing,Associate,20/02/2024,Present,8.23,9,3.6,58671
EMP7930,Fernando Molina,HR,Senior,22/03/2023,Late,4.16,14,4,48047
EMP9179,Lucia Romero,Sales,Manager,15/05/2024,Present,1.09,14,,87272
EMP3503,Cesar Rivas,Marketing,Junior,26/01/2024,Work From Home,4.65,10,1.2,117474
EMP5558,Eduardo Espinoza,Sales,Junior,20/08/2024,Late,8.5,6,,49145
EMP1006,Veronica Soto,IT Support,Lead,18/08/2023,Late,3.86,13,2.1,30208
EMP5497,Gabriela Vega,it support,Manager,03/12/2024,Work From Home,9.34,,4,57512
EMP3546,Renata Montes,Sales,Lead,20/04/2023,Absent,3.05,6,1.5,71497
EMP7615,Valentina Gutierrez,,Junior,16/02/2024,Present,5.27,6,1.6,57914
EMP9938,Elena Morales,Finance,Junior,10/05/2023,Present,6.03,10,4.5,77711
EMP1006,Veronica Soto,SALES,Manager,24/06/2024,Absent,5.08,9,2.2,26258
EMP9179,Lucia Romero,HR,Manager,01/08/2023,Late,7.04,7,4.1,98116
EMP9751,Lorena Acosta,Engineering,Senior,21/09/2024,WFH,7.08,4,1.5,
EMP5010,Alfredo Cordova,Operations,Senior,07/11/2024,Present,3.38,7,1.2,94943
EMP4475,Rosa Mendoza,Marketing,Senior,10/11/2023,Absent,5.35,13,3.8,66077
EMP6000,Alejandro Fuentes,Engineering,Junior,29/10/2024,Absent,0.48,0,1.8,22671
EMP5558,Eduardo Espinoza,Operations,Lead,27/02/2023,late,,5,3,76873
EMP5542,Carlos Reyes,Finance,Lead,29/06/2023,Work From Home,1.55,7,3.2,107562
EMP3184,Monica Aguilar,Sales,Associate,24/03/2024,On Leave,9.57,2,3.7,38242
EMP5915,Jorge Flores,Sales,Senior,30/04/2024,Work From Home,6.23,4,4.6,38321
EMP8019,Adriana Nunez,Operations,Lead,06/01/2024,Work From Home,2.63,4,3,119061
EMP4475,Rosa Mendoza,HR,Manager,29/09/2023,Work From Home,7.81,13,3.6,85278
EMP2530,Daniela Paredes,Operations,Lead,27/10/2024,Work From Home,99.9,10,2.5,61505
EMP2796,  Ana Bautista  ,IT Support,Manager,08/11/2024,ABSENT,3.61,11,4.1,61662
EMP5558,Eduardo Espinoza,engineering,Senior,03/11/2024,WFH,11.57,4,1.3,106980
EMP5291,Javier Miranda,Operations,Senior,19/10/2024,Absent,11.48,15,4.2,109783
EMP2588,Luis Torres,HR,Junior,22/09/2023,On Leave,2.66,7,2.5,80694
EMP9666,Camila Ortiz,Operations,Manager,23/10/2023,Late,5.27,14,3.8,55683
EMP9179,Lucia Romero,Marketing,Manager,28/05/2023,Late,3.75,10,4.9,37139
EMP5291,Javier Miranda,Sales,Lead,08/07/2024,Absent,0.43,2,3.5,57667
EMP5558,  Eduardo Espinoza  ,Marketing,Manager,17/10/2023,Work From Home,0.3,11,4.2,78400
EMP8433,Roberto Navarro,,Senior,24/10/2023,Absent,6.87,3,4.9,73948
EMP9494,Diego Jimenez,Marketing,Manager,25/05/2024,Absent,,1,2.1,37172
EMP6862,Jose Cruz,Operations,Manager,23/09/2024,On Leave,2.95,9,2.6,92179
EMP9004,Marco Sandoval,Marketing,Junior,05/04/2023,Present,7.61,,1,37146
EMP9179,Lucia Romero,IT Support,Lead,03/02/2024,Work From Home,10.86,0,2.5,20772
EMP2588,  Luis Torres  ,HR,Associate,03/05/2024,Work From Home,,7,3.7,21217
EMP3184,Monica Aguilar,Marketing,Senior,21/08/2024,Present,4.57,11,3.7,81797
EMP3170,Andres Vargas,Finance,Lead,27/09/2023,Work From Home,2.71,8,1.2,118596
EMP8018,Oscar Leon,Marketing,Manager,28/05/2024,Late,10.96,5,4.7,83156
EMP4510,Claudia Suarez,HR,Senior,29/10/2024,Present,2.31,2,1.7,90513
EMP9751,Lorena Acosta,Finance,Senior,18/09/2024,On Leave,,4,4.7,34802
EMP8019,Adriana Nunez,Finance,Manager,20/10/2024,Late,7.62,10,1.6,28950
EMP7615,Valentina Gutierrez,Engineering,Junior,21/02/2023,Work From Home,3.48,12,2.7,40932
EMP4510,Claudia Suarez,Engineering,Manager,19/10/2024,Present,11.49,1,4.8,107584
EMP6947,Carmen Ramos,Sales,Manager,07/12/2024,On Leave,2.22,6,2.1,97278
EMP7615,Valentina Gutierrez,Engineering,Junior,14/04/2023,Work From Home,7.13,14,6,26380
EMP9494,Diego Jimenez,IT Support,Manager,05/10/2023,Absent,11.2,8,,117110
EMP9666,Camila Ortiz,Engineering,Manager,13/09/2024,Late,6.11,,3.6,51370
EMP4510,Claudia Suarez,HR,Junior,07/02/2024,Absent,6.07,7,3.3,26377
EMP8019,Adriana Nunez,Engineering,Associate,21/02/2023,Absent,,,1.2,74172
EMP8433,Roberto Navarro,IT Support,Associate,11/09/2024,Present,1.66,8,3.6,68655
EMP9179,Lucia Romero,Finance,Lead,27/05/2023,Work From Home,3.18,7,3.2,117912
EMP7930,Fernando Molina,IT Support,Lead,28/08/2023,On Leave,6.41,9,4.6,45430
EMP2193,Antonio Medina,Marketing,Lead,10/04/2023,Late,5.26,14,1.3,25856
EMP3184,Monica Aguilar,Operations,Associate,14/12/2024,Present,-1,2,1.4,69710
EMP6000,Alejandro Fuentes,Sales,Associate,30/08/2023,Absent,1.23,8,1.7,40036
EMP6553,Ricardo Delgado,Operations,Lead,27/05/2023,Present,3.8,5,3,
EMP8018,Oscar Leon,Marketing,Senior,11/06/2023,Late,8.54,5,3,35907
EMP4475,Rosa Mendoza,Sales,Manager,22/01/2023,Absent,0,10,5,94000
EMP9004,Marco Sandoval,,Junior,30/04/2024,on leave,10.94,5,4.2,49329
EMP5915,Jorge Flores,Sales,Associate,12/03/2023,Work From Home,6.37,0,3.6,77684
EMP9179,Lucia Romero,Finance,Associate,13/12/2023,Present,1.29,13,4.7,108098
EMP7615,Valentina Gutierrez,Finance,Manager,13/04/2024,Work From Home,25,15,3.1,102831
EMP9727,Salvador Bernal,Operatons,Associate,28/09/2023,Absent,7.93,5,1.7,29838
EMP3296,Sergio Pena,Engineering,Lead,31/03/2023,Late,,10,3.8,92089
EMP9920,Natalia Silva,HR ,Associate,13/08/2023,Absent,11.49,15,-1,99395
EMP6553,Ricardo Delgado,HR,Junior,26/05/2023,On Leave,4.18,10,4.1,88303
EMP2588,Luis Torres,Finance,Senior,12/10/2024,Absent,,14,2.7,116180
EMP4978,Pedro Villanueva,HR,Senior,01/12/2024,Work From Home,7.2,3,4.1,65508
EMP5349,Sofia Castillo,Sales,Lead,23/07/2024,ABSENT,5.95,11,4.1,61777
EMP9751,Lorena Acosta,HR,Lead,08/11/2024,Late,8.72,15,,104070
EMP9666,Camila Ortiz,HR,Lead,05/02/2023,Present,6.03,4,4.8,78856
EMP6947,Carmen Ramos,HR,Lead,21/02/2023,On Leave,2.02,13,,70165
EMP8433,Roberto Navarro,HR,Lead,06/04/2024,Late,8.27,,1.1,
EMP6947,  Carmen Ramos  ,IT Support,Senior,03/09/2023,Present,0.7,2,3.9,29071
EMP5558,Eduardo Espinoza,HR,Senior,28/02/2024,Work From Home,4.65,2,4.6,51816
EMP5558,Eduardo Espinoza,Marketing,Senior,11/05/2023,Work From Home,2.13,0,2.6,94381
EMP7615,Valentina Gutierrez,,Manager,15/02/2024,Late,6.29,12,,49041
EMP5135,Pablo Rojas,,Junior,06/04/2023,Late,8.77,14,4.4,
EMP2530,Daniela Paredes,IT Support,Manager,01/10/2023,Late,9.85,9,4.3,96011
EMP9004,Marco Sandoval,Operations,Lead,24/03/2024,On Leave,0.97,1,3.9,99129
EMP5497,Gabriela Vega,Marketing,Lead,16/03/2023,On Leave,8.26,5,2.7,
EMP4978,  Pedro Villanueva  ,Marketing,Manager,20/09/2024,Late,11.46,12,1.1,55825
EMP3950,Hector Campos,Marketing,Junior,29/05/2024,Absent,8.08,1,1.9,87603
EMP2588,Luis Torres,engineering,Manager,19/05/2023,Work From Home,4.66,11,2.7,117290
EMP5558,Eduardo Espinoza,Engineering,Manager,19/09/2024,Work From Home,0.65,5,4.4,84990
EMP6947,Carmen Ramos,Finance,Manager,14/07/2023,Present,3.06,13,3.1,90575
EMP6000,Alejandro Fuentes,Operations,Manager,26/11/2023,Present,4.66,5,2.3,48707
