employee_id,employee_name,department,position,date,attendance_status,hours_worked,tasks_completed,performance_rating,monthly_salary
EMP2824,Ching Mae Abenoja,Unknown,Manager,2024-03-08,Absent,6.11,3.0,3.1,64453.0
EMP1409,Juliana Eunice Astibe,Marketing,Junior,2024-07-28,On Leave,6.7,10.0,3.1,63618.0
EMP5506,Rhuzzel Rabe,Engineering,Senior,2023-01-07,On Leave,8.66,4.0,3.4,35189.0
EMP5012,John Dominic San Agustin,IT Support,Associate,2023-12-11,Present,6.36,8.0,3.4,47541.0
EMP4657,Harold Gorospe,Finance,Manager,2023-09-28,Work From Home,8.82,9.0,2.8,85443.0
EMP3286,Sam Cunanan,Operations,Lead,2023-03-22,Work From Home,7.93,7.0,3.0,29558.0
EMP2679,Raphael Petancio,Sales,Junior,2024-11-08,Present,6.8,6.0,4.6,81785.0
EMP9935,Hillary Anne Gambao,HR,Junior,2024-01-25,Absent,6.97,7.0,3.0,38730.0
EMP2424,Miguel Cardona,Engineering,Senior,2024-12-19,Work From Home,9.28,3.0,0.0,60005.0
EMP9666,Camila Ortiz,Operations,Manager,2023-01-12,Absent,3.14,11.0,3.0,35495.0
EMP1166,Isabela Rios,HR,Associate,2023-10-07,Late,8.43,9.0,2.4,43777.0
EMP8019,  Adriana Nunez  ,Sales,Associate,2023-04-24,Present,10.16,11.0,2.5,106787.0
EMP1166,Isabela Rios,IT Support,Lead,2024-12-07,Absent,6.095000000000001,13.0,1.5,111248.0
EMP5542,Carlos Reyes,Marketing,Associate,2023-10-26,Work From Home,6.095000000000001,9.0,2.0,68270.0
EMP5558,Eduardo Espinoza,Operations,Senior,2024-02-28,Absent,0.65,4.0,5.0,64914.0
EMP9179,Lucia Romero,Engineering,Junior,2024-05-05,On Leave,10.97,6.0,4.7,92362.0
EMP6947,Carmen Ramos,Operations,Junior,2024-10-18,Work From Home,8.64,2.0,1.2,29514.0
EMP9179,Lucia Romero,Operations,Senior,2024-12-04,Absent,4.14,4.0,3.0,111004.0
EMP5558,Eduardo Espinoza,Finance,Associate,2024-05-13,Work From Home,7.63,5.0,1.7,57858.0
EMP5119,Patricia Ruiz,Operations,Associate,2024-01-08,On Leave,6.095000000000001,9.0,2.6,64350.0
EMP4470,Paola Ibarra,Operations,Senior,2023-01-19,Absent,4.35,5.0,2.4,83736.0
